Lokasi,Tujuan,Jarak
Pantai Pasir Putih Parparean,Bandara,"35,6 km"
Pantai Pasir Putih Parparean,Pelabuhan,"86,2 km"
Pantai Pasir Putih Parparean,Rumah Sakit,"11,6 km"
