Lokasi,Tujuan,Jarak
Air Terjun Sigura-Gura,Bandara,"62,3 km"
Air Terjun Sigura-Gura,Pelabuhan,"69,1 km"
Air Terjun Sigura-Gura,Rumah Sakit,"70,1 km"
