Lokasi,Tujuan,Jarak
Museum Batak Tb Silalahi Center,Bandara,"15,9 km"
Museum Batak Tb Silalahi Center,Pelabuhan,"2,7 km"
Museum Batak Tb Silalahi Center,Rumah Sakit,"3,1 km"
