Lokasi,Tujuan,Jarak
Lumban Binanga Beach Laguboti,Bandara,"28,9 km"
Lumban Binanga Beach Laguboti,Pelabuhan,"47,4 km"
Lumban Binanga Beach Laguboti,Rumah Sakit,"29,9 km"
