Lokasi,Tujuan,Jarak
Pantai Lumban Bul-bul Balige,Bandara,"19,6 km"
Pantai Lumban Bul-bul Balige,Rumah Sakit,"7,2 km"
Pantai Lumban Bul-bul Balige,Pelabuhan,"1,9 km"
