Hotel,Rumah Makan,Area Parkir,Toilet
Taman Eden 100,Taman Eden 100,Taman Eden 100,Taman Eden 100
Air Terjun Taman Eden 100,Air Terjun Taman Eden 100,Air Terjun Taman Eden 100,Air Terjun Taman Eden 100
,,,"Rumah Tarzan. Taman Eden 100, Tobasa."
